license_code,license_name,license_family,license_url,is_open_data,redistribution_allowed,commercial_use_allowed,attribution_required,share_alike,notes
CC0,Creative Commons Zero (Public Domain Dedication),creative_commons,https://creativecommons.org/publicdomain/zero/1.0/,true,true,true,false,false,GLEIF LEI ISO 17442 — public domain dedication
CC_BY_4_0,Creative Commons Attribution 4.0 International,creative_commons,https://creativecommons.org/licenses/by/4.0/,true,true,true,true,false,World Bank Open Data + ASIC
CC_BY_SA_4_0,Creative Commons Attribution-ShareAlike 4.0,creative_commons,https://creativecommons.org/licenses/by-sa/4.0/,true,true,true,true,true,Derivatives must be licensed identically
CC_BY_NC_4_0,Creative Commons Attribution-NonCommercial 4.0,creative_commons,https://creativecommons.org/licenses/by-nc/4.0/,true,true,false,true,false,NOT usable for commercial API — flagged for filter exclusion
OGL_V3,UK Open Government Licence v3.0,government,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,true,true,true,true,false,UK Companies House + UK public sector
ETALAB_2_0,Licence Ouverte / Open Licence v2.0 (Etalab France),government,https://www.etalab.gouv.fr/licence-ouverte-open-licence/,true,true,true,true,false,INSEE SIRENE + AMF + French public data
US_PUBLIC_DOMAIN,U.S. Government Works (Public Domain — 17 USC §105),government,https://www.usa.gov/government-works,true,true,true,false,false,SEC EDGAR + US Treasury + Federal data (no copyright restriction)
OPEN_DATA_JAPAN,Government of Japan Open Data Policy,government,https://www.cas.go.jp/jp/seisaku/it2/070326/02-1.pdf,true,true,true,true,false,Bank of Japan + Japanese government data — equivalent to CC-BY
KOREA_OGL,Korea Open Government Licence (KOGL Type 1),government,https://kogl.or.kr/info/license.do?gubun=1#,true,true,true,true,false,Bank of Korea ECOS — commercial use OK with attribution
OGDL_TAIWAN_V1,Open Government Data License v1.0 (Taiwan),government,https://data.gov.tw/license,true,true,true,true,false,Taiwan Stock Exchange + Taiwan government data
FRED_PUBLIC,FRED API Terms of Use,proprietary_open,https://fred.stlouisfed.org/legal/,true,true,true,true,false,Federal Reserve Bank of St. Louis — redistribution OK with attribution
ECB_OPEN_ACCESS,ECB Open Access policy,government,https://www.ecb.europa.eu/services/disclaimer/html/index.en.html,true,true,true,true,false,European Central Bank — commercial use OK with citation
HKMA_OPEN,HKMA Open Data Terms,government,https://www.hkma.gov.hk/eng/data-publications-and-research/,true,true,true,true,false,Hong Kong Monetary Authority — open data policy
OECD_TOU,OECD Terms of Use,proprietary_open,https://www.oecd.org/termsandconditions/,true,true,true,true,false,OECD Statistics — non-commercial reuse with attribution, commercial OK case-by-case
IMF_DATA,IMF Data Terms,proprietary_open,https://www.imf.org/external/terms.htm,true,true,true,true,false,IMF DataMapper — attribution required for redistribution
EUROSTAT_OPEN,Eurostat Open Reuse Policy,government,https://ec.europa.eu/eurostat/about-us/policies/copyright,true,true,true,true,false,European Commission statistics — free reuse with attribution
BIS_OPEN,BIS Statistics Terms,proprietary_open,https://www.bis.org/terms_conditions.htm,true,true,true,true,false,Bank for International Settlements — free use with attribution
COINGECKO_DEMO,CoinGecko Demo API Terms,proprietary_restricted,https://www.coingecko.com/en/api/documentation,false,false,true,true,false,Free Demo plan — INTERNAL USE ONLY; redistribution of raw fields NOT allowed (ToS §4.1.6 §6.2)
COINPAPRIKA_TOU,CoinPaprika Terms of Use,proprietary_open,https://coinpaprika.com/terms-of-use/,true,true,true,true,false,Free tier OK for commercial use with attribution
CRYPTOCOMPARE_TOU,CryptoCompare API Terms,proprietary_open,https://min-api.cryptocompare.com/documentation,true,true,true,true,false,Free tier OK for commercial use with attribution
DEFILLAMA_OPEN,DefiLlama Open API,proprietary_open,https://defillama.com/docs/api,true,true,true,true,false,Free open API — attribution requested
OPENFIGI_TOU,OpenFIGI Terms of Use,proprietary_open,https://www.openfigi.com/about/terms,true,true,true,true,false,Bloomberg FIGI — free identifier mapping with attribution
CRYPTOPANIC_TOU,CryptoPanic API Terms,proprietary_open,https://cryptopanic.com/about/api/,true,true,true,true,false,News aggregator — links + metadata only; full text NOT redistributed (droit voisin presse UE)
JQUANTS_TOU,J-Quants Terms of Use,proprietary_restricted,https://jpx-jquants.com/,false,false,true,true,false,JPX Market Innovation Research — internal use only on free tier
HKEX_RESERVED,HKEX Copyright Reserved,proprietary_restricted,https://www.hkex.com.hk/Global/Exchange/Disclaimer,false,false,true,true,false,Hong Kong Stock Exchange — copyright reserved internally usable, NO public redistribution
SGX_TOU,Singapore Stock Exchange Terms,proprietary_restricted,https://www.sgx.com/terms-use,false,false,true,true,false,SGX — copyright reserved
LSE_RESERVED,London Stock Exchange Copyright,proprietary_restricted,https://www.londonstockexchange.com/disclaimer,false,false,true,true,false,LSE — copyright reserved
SEBI_PUBLIC,SEBI Public Disclosures,government,https://www.sebi.gov.in/,true,true,true,true,false,India Securities and Exchange Board public filings
DART_OPEN,DART Open Information,government,https://opendart.fss.or.kr/,true,true,true,true,false,Korea FSS open data — public filings
EDINET_OPEN,EDINET Open Information,government,https://disclosure.edinet-fsa.go.jp/,true,true,true,true,false,Japan FSA EDINET — public filings
MIT,MIT License,permissive_software,https://opensource.org/licenses/MIT,true,true,true,true,false,AkShare and similar OSS data libs — code license, data redistributed under same
