provider_code,provider_name,category,license_code,license_url,attribution_required,redistribution_allowed,attribution_text,is_active
FRED,Federal Reserve Bank of St. Louis (FRED),macro,FRED_PUBLIC,https://fred.stlouisfed.org/legal/,true,true,Source: Federal Reserve Bank of St. Louis (FRED),true
ECB,European Central Bank (Statistical Data Warehouse),macro,ECB_OPEN_ACCESS,https://www.ecb.europa.eu/services/disclaimer/html/index.en.html,true,true,Source: European Central Bank (ECB Statistical Data Warehouse),true
BOJ,Bank of Japan (Time-Series Data Search),macro,OPEN_DATA_JAPAN,https://www.boj.or.jp/en/about/site_policy/index.htm/,true,true,Source: Bank of Japan (boj.or.jp),true
BOK,Bank of Korea (ECOS),macro,KOREA_OGL,https://kogl.or.kr/info/license.do,true,true,Source: Bank of Korea (ECOS — ecos.bok.or.kr),true
HKMA,Hong Kong Monetary Authority,macro,HKMA_OPEN,https://www.hkma.gov.hk/eng/data-publications-and-research/,true,true,Source: Hong Kong Monetary Authority (hkma.gov.hk),true
OECD,Organisation for Economic Co-operation and Development,macro,OECD_TOU,https://www.oecd.org/termsandconditions/,true,true,Source: OECD Statistics (stats.oecd.org),true
IMF,International Monetary Fund (DataMapper),macro,IMF_DATA,https://www.imf.org/external/terms.htm,true,true,Source: International Monetary Fund (imf.org),true
EUROSTAT,Eurostat (European Statistics),macro,EUROSTAT_OPEN,https://ec.europa.eu/eurostat/about-us/policies/copyright,true,true,Source: Eurostat (ec.europa.eu/eurostat),true
BIS,Bank for International Settlements,macro,BIS_OPEN,https://www.bis.org/terms_conditions.htm,true,true,Source: Bank for International Settlements (BIS). stats.bis.org,true
USTREASURY,U.S. Department of the Treasury (Fiscal Data),macro,US_PUBLIC_DOMAIN,https://fiscaldata.treasury.gov/about/,false,true,Source: U.S. Department of the Treasury Bureau of the Fiscal Service,true
WORLDBANK,World Bank Open Data,macro,CC_BY_4_0,https://datacatalog.worldbank.org/public-licenses,true,true,Source: World Bank Open Data (data.worldbank.org),true
COINGECKO,CoinGecko (Demo API),crypto,COINGECKO_DEMO,https://www.coingecko.com/en/api/documentation,true,false,Powered by CoinGecko,true
COINPAPRIKA,CoinPaprika,crypto,COINPAPRIKA_TOU,https://coinpaprika.com/terms-of-use/,true,true,Source: CoinPaprika (coinpaprika.com),true
CRYPTOCOMPARE,CryptoCompare,crypto,CRYPTOCOMPARE_TOU,https://min-api.cryptocompare.com/documentation,true,true,Source: CryptoCompare (cryptocompare.com),true
DEFILLAMA,DefiLlama,crypto,DEFILLAMA_OPEN,https://defillama.com/docs/api,true,true,Source: DefiLlama (defillama.com),true
GLEIF,Global Legal Entity Identifier Foundation,identifier,CC0,https://www.gleif.org/en/about/open-data,false,true,Source: GLEIF (Global Legal Entity Identifier Foundation),true
OPENFIGI,Bloomberg OpenFIGI,identifier,OPENFIGI_TOU,https://www.openfigi.com/about/terms,true,true,FIGI identifiers provided by OpenFIGI (openfigi.com),true
INSEE_SIRENE,INSEE — Système National d'Identification SIREN/SIRET,identifier,ETALAB_2_0,https://www.etalab.gouv.fr/licence-ouverte-open-licence/,true,true,Source: INSEE — SIRENE (sirene.fr),true
COMPANIES_HOUSE,UK Companies House,identifier,OGL_V3,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,true,true,Source: UK Companies House — Contains public sector information licensed under OGL v3.0,true
EDGAR,U.S. Securities and Exchange Commission (EDGAR),fundamentals,US_PUBLIC_DOMAIN,https://www.sec.gov/privacy.htm#dismiss,false,true,Source: U.S. SEC EDGAR (sec.gov/edgar),true
EDINET,Japan FSA EDINET,fundamentals,EDINET_OPEN,https://disclosure.edinet-fsa.go.jp/,true,true,Source: Japan FSA EDINET (disclosure.edinet-fsa.go.jp),true
DART,South Korea Financial Supervisory Service DART,fundamentals,DART_OPEN,https://opendart.fss.or.kr/,true,true,Source: DART — Korea Financial Supervisory Service (dart.fss.or.kr),true
SEBI,India Securities and Exchange Board (SEBI),fundamentals,SEBI_PUBLIC,https://www.sebi.gov.in/,true,true,Source: SEBI — Securities and Exchange Board of India (sebi.gov.in),true
ASIC,Australian Securities and Investments Commission,fundamentals,CC_BY_4_0,https://asic.gov.au/about-asic/dealing-with-asic/copyright/,true,true,Source: ASIC (asic.gov.au),true
HKEX,Hong Kong Stock Exchange (HKEXnews),fundamentals,HKEX_RESERVED,https://www.hkex.com.hk/Global/Exchange/Disclaimer,true,false,Source: HKEX (hkex.com.hk),true
SGX,Singapore Stock Exchange,fundamentals,SGX_TOU,https://www.sgx.com/terms-use,true,false,Source: Singapore Exchange (sgx.com),true
TWSE,Taiwan Stock Exchange,fundamentals,OGDL_TAIWAN_V1,https://data.gov.tw/license,true,true,Source: Taiwan Stock Exchange (TWSE) — Open Government Data License v1.0,true
AMF,Autorité des Marchés Financiers (France),regulatory,ETALAB_2_0,https://www.amf-france.org/fr/mentions-legales,true,true,Source: AMF (amf-france.org),true
LSE,London Stock Exchange,fundamentals,LSE_RESERVED,https://www.londonstockexchange.com/disclaimer,true,false,Source: London Stock Exchange,true
JQUANTS,J-Quants (JPX),market_data,JQUANTS_TOU,https://jpx-jquants.com/,true,false,Source: J-Quants — JPX Market Innovation & Research (jpx-jquants.com),true
AKSHARE,AkShare (open community),market_data,MIT,https://github.com/akfamily/akshare,true,true,Source: AkShare (akfamily/akshare),true
CRYPTOPANIC,CryptoPanic,news,CRYPTOPANIC_TOU,https://cryptopanic.com/about/api/,true,true,Source: CryptoPanic (cryptopanic.com),true
