asset_sk,asset_id,ticker,name,tier,contract_address,sources_confirmed,single_source,methodology_version,valid_from,valid_to,is_current
1,btc,BTC,Bitcoin,1,,3,false,v1,2024-01-01,,true
2,eth,ETH,Ethereum,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3,false,v1,2024-01-01,,true
3,matic,MATIC,Polygon,2,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,2,false,v1,2024-01-01,,true
4,sol,SOL,Solana,1,,2,false,v1,2024-01-01,,true
5,bnb,BNB,BNB,1,,2,false,v1,2024-01-01,,true
6,ada,ADA,Cardano,2,,2,false,v1,2024-01-01,,true
7,dot,DOT,Polkadot,2,,2,false,v1,2024-01-01,,true
8,avax,AVAX,Avalanche,2,,2,false,v1,2024-01-01,,true
9,msci_world_etf,MSCI_WORLD,MSCI World ETF (stub),1,,1,true,v1,2024-01-01,,true
10,sp500_etf,SP500,S&P 500 ETF (stub),1,,1,true,v1,2024-01-01,,true
