asset_sk,asset_id,snapshot_date,date_key,price_consensus_usd,supply_on_chain,market_cap_derived_usd,tier_crypto,exchanges_count,methodology_version
1,btc,2024-01-01,20240101,59400.0,19600000,1164240000000.0,1,5,v1
2,eth,2024-01-01,20240101,3465.0,120000000,415800000000.0,1,5,v1
3,matic,2024-01-01,20240101,0.8415,9900000000,8330850000.0,2,4,v1
4,sol,2024-01-01,20240101,138.6,440000000,60984000000.0,1,4,v1
5,bnb,2024-01-01,20240101,415.8,153000000,63617400000.0,1,3,v1
6,ada,2024-01-01,20240101,0.5445,35000000000,19057500000.0,2,4,v1
7,dot,2024-01-01,20240101,8.415,1400000000,11781000000.0,2,3,v1
8,avax,2024-01-01,20240101,37.62,400000000,15048000000.0,2,3,v1
9,msci_world_etf,2024-01-01,20240101,415.8,0,0.0,1,1,v1
10,sp500_etf,2024-01-01,20240101,475.2,0,0.0,1,1,v1
1,btc,2024-01-02,20240102,60000.0,19600000,1176000000000.0,1,5,v1
2,eth,2024-01-02,20240102,3524.5,120000000,422940000000.0,1,5,v1
3,matic,2024-01-02,20240102,0.84405,9900000000,8356095000.0,2,4,v1
4,sol,2024-01-02,20240102,140.0,440000000,61600000000.0,1,4,v1
5,bnb,2024-01-02,20240102,422.94,153000000,64709820000.0,1,3,v1
6,ada,2024-01-02,20240102,0.54615,35000000000,19115250000.0,2,4,v1
7,dot,2024-01-02,20240102,8.5,1400000000,11900000000.0,2,3,v1
8,avax,2024-01-02,20240102,38.266,400000000,15306400000.0,2,3,v1
9,msci_world_etf,2024-01-02,20240102,417.06,0,0.0,1,1,v1
10,sp500_etf,2024-01-02,20240102,480.0,0,0.0,1,1,v1
1,btc,2024-01-03,20240103,60600.0,19600000,1187760000000.0,1,5,v1
2,eth,2024-01-03,20240103,3510.5,120000000,421260000000.0,1,5,v1
3,matic,2024-01-03,20240103,0.8466,9900000000,8381340000.0,2,4,v1
4,sol,2024-01-03,20240103,141.4,440000000,62216000000.0,1,4,v1
5,bnb,2024-01-03,20240103,421.26,153000000,64452780000.0,1,3,v1
6,ada,2024-01-03,20240103,0.5478,35000000000,19173000000.0,2,4,v1
7,dot,2024-01-03,20240103,8.585,1400000000,12019000000.0,2,3,v1
8,avax,2024-01-03,20240103,38.114,400000000,15245600000.0,2,3,v1
9,msci_world_etf,2024-01-03,20240103,418.32,0,0.0,1,1,v1
10,sp500_etf,2024-01-03,20240103,484.8,0,0.0,1,1,v1
1,btc,2024-01-04,20240104,59940.0,19600000,1174824000000.0,1,5,v1
2,eth,2024-01-04,20240104,3496.5,120000000,419580000000.0,1,5,v1
3,matic,2024-01-04,20240104,0.84915,9900000000,8406585000.0,2,4,v1
4,sol,2024-01-04,20240104,139.86,440000000,61538400000.0,1,4,v1
5,bnb,2024-01-04,20240104,419.58,153000000,64195740000.0,1,3,v1
6,ada,2024-01-04,20240104,0.54945,35000000000,19230750000.0,2,4,v1
7,dot,2024-01-04,20240104,8.4915,1400000000,11888100000.0,2,3,v1
8,avax,2024-01-04,20240104,37.962,400000000,15184800000.0,2,3,v1
9,msci_world_etf,2024-01-04,20240104,419.58,0,0.0,1,1,v1
10,sp500_etf,2024-01-04,20240104,479.52,0,0.0,1,1,v1
1,btc,2024-01-05,20240105,60540.0,19600000,1186584000000.0,1,5,v1
2,eth,2024-01-05,20240105,3482.5,120000000,417900000000.0,1,5,v1
3,matic,2024-01-05,20240105,0.8517,9900000000,8431830000.0,2,4,v1
4,sol,2024-01-05,20240105,141.26,440000000,62154400000.0,1,4,v1
5,bnb,2024-01-05,20240105,417.9,153000000,63938700000.0,1,3,v1
6,ada,2024-01-05,20240105,0.5511,35000000000,19288500000.0,2,4,v1
7,dot,2024-01-05,20240105,8.5765,1400000000,12007100000.0,2,3,v1
8,avax,2024-01-05,20240105,37.81,400000000,15124000000.0,2,3,v1
9,msci_world_etf,2024-01-05,20240105,420.84,0,0.0,1,1,v1
10,sp500_etf,2024-01-05,20240105,484.32,0,0.0,1,1,v1
1,btc,2024-01-06,20240106,59880.0,19600000,1173648000000.0,1,5,v1
2,eth,2024-01-06,20240106,3468.5,120000000,416220000000.0,1,5,v1
3,matic,2024-01-06,20240106,0.85425,9900000000,8457075000.0,2,4,v1
4,sol,2024-01-06,20240106,139.72,440000000,61476800000.0,1,4,v1
5,bnb,2024-01-06,20240106,416.22,153000000,63681660000.0,1,3,v1
6,ada,2024-01-06,20240106,0.55275,35000000000,19346250000.0,2,4,v1
7,dot,2024-01-06,20240106,8.483,1400000000,11876200000.0,2,3,v1
8,avax,2024-01-06,20240106,37.658,400000000,15063200000.0,2,3,v1
9,msci_world_etf,2024-01-06,20240106,422.1,0,0.0,1,1,v1
10,sp500_etf,2024-01-06,20240106,479.04,0,0.0,1,1,v1
1,btc,2024-01-07,20240107,60480.0,19600000,1185408000000.0,1,5,v1
2,eth,2024-01-07,20240107,3528.0,120000000,423360000000.0,1,5,v1
3,matic,2024-01-07,20240107,0.8568,9900000000,8482320000.0,2,4,v1
4,sol,2024-01-07,20240107,141.12,440000000,62092800000.0,1,4,v1
5,bnb,2024-01-07,20240107,423.36,153000000,64774080000.0,1,3,v1
6,ada,2024-01-07,20240107,0.5544,35000000000,19404000000.0,2,4,v1
7,dot,2024-01-07,20240107,8.568,1400000000,11995200000.0,2,3,v1
8,avax,2024-01-07,20240107,38.304,400000000,15321600000.0,2,3,v1
9,msci_world_etf,2024-01-07,20240107,423.36,0,0.0,1,1,v1
10,sp500_etf,2024-01-07,20240107,483.84,0,0.0,1,1,v1
1,btc,2024-01-08,20240108,59820.0,19600000,1172472000000.0,1,5,v1
2,eth,2024-01-08,20240108,3514.0,120000000,421680000000.0,1,5,v1
3,matic,2024-01-08,20240108,0.8415,9900000000,8330850000.0,2,4,v1
4,sol,2024-01-08,20240108,139.58,440000000,61415200000.0,1,4,v1
5,bnb,2024-01-08,20240108,421.68,153000000,64517040000.0,1,3,v1
6,ada,2024-01-08,20240108,0.5445,35000000000,19057500000.0,2,4,v1
7,dot,2024-01-08,20240108,8.4745,1400000000,11864300000.0,2,3,v1
8,avax,2024-01-08,20240108,38.152,400000000,15260800000.0,2,3,v1
9,msci_world_etf,2024-01-08,20240108,415.8,0,0.0,1,1,v1
10,sp500_etf,2024-01-08,20240108,478.56,0,0.0,1,1,v1
1,btc,2024-01-09,20240109,60420.0,19600000,1184232000000.0,1,5,v1
2,eth,2024-01-09,20240109,3500.0,120000000,420000000000.0,1,5,v1
3,matic,2024-01-09,20240109,0.84405,9900000000,8356095000.0,2,4,v1
4,sol,2024-01-09,20240109,140.98,440000000,62031200000.0,1,4,v1
5,bnb,2024-01-09,20240109,420.0,153000000,64260000000.0,1,3,v1
6,ada,2024-01-09,20240109,0.54615,35000000000,19115250000.0,2,4,v1
7,dot,2024-01-09,20240109,8.5595,1400000000,11983300000.0,2,3,v1
8,avax,2024-01-09,20240109,38.0,400000000,15200000000.0,2,3,v1
9,msci_world_etf,2024-01-09,20240109,417.06,0,0.0,1,1,v1
10,sp500_etf,2024-01-09,20240109,483.36,0,0.0,1,1,v1
1,btc,2024-01-10,20240110,59760.0,19600000,1171296000000.0,1,5,v1
2,eth,2024-01-10,20240110,3486.0,120000000,418320000000.0,1,5,v1
3,matic,2024-01-10,20240110,0.8466,9900000000,8381340000.0,2,4,v1
4,sol,2024-01-10,20240110,139.44,440000000,61353600000.0,1,4,v1
5,bnb,2024-01-10,20240110,418.32,153000000,64002960000.0,1,3,v1
6,ada,2024-01-10,20240110,0.5478,35000000000,19173000000.0,2,4,v1
7,dot,2024-01-10,20240110,8.466,1400000000,11852400000.0,2,3,v1
8,avax,2024-01-10,20240110,37.848,400000000,15139200000.0,2,3,v1
9,msci_world_etf,2024-01-10,20240110,418.32,0,0.0,1,1,v1
10,sp500_etf,2024-01-10,20240110,478.08,0,0.0,1,1,v1
1,btc,2024-01-11,20240111,60360.0,19600000,1183056000000.0,1,5,v1
2,eth,2024-01-11,20240111,3472.0,120000000,416640000000.0,1,5,v1
3,matic,2024-01-11,20240111,0.84915,9900000000,8406585000.0,2,4,v1
