analysis_type_id,analysis_type_label,model_default,refresh_cadence,is_enabled
token_classification,Token Classification,claude-haiku-4-5,quarterly_or_event,true
token_methodology,Token Methodology,claude-haiku-4-5,quarterly_or_event,true
fundamental_summary,Fundamental Summary,claude-haiku-4-5,monthly_or_event,true
news_summary,News Summary,claude-haiku-4-5,trigger_new_news,true
sentiment_score,Sentiment Score,claude-haiku-4-5,trigger_price_move,true
event_extraction,Event Extraction,claude-haiku-4-5,on_event,true
news_ner_v1,News NER v1,claude-haiku-4-5,trigger_new_news,true
halal_screening,Halal Screening,,,false
reserved_01,Reserved 01,,,false
reserved_02,Reserved 02,,,false
reserved_03,Reserved 03,,,false
